id;name;unit;min_value;max_value
1;mobile Fish;Home Loan Account Table Computer;5808;45924
2;seamless Metal deposit;Producer;83244;93855
3;Electronics;Soap methodology Albania;43194;2306
4;Namibia;Steel zero administration;36636;23277
5;Licensed Savings Account;Cambridgeshire Mississippi;4645;85994
6;Yuan Renminbi Centers;Factors;96563;56328
7;envisioneer Music Public-key;infomediaries;12203;60999
8;backing up Salad;Digitized invoice;31171;42515
9;sky blue Georgia;Facilitator;77513;44975
10;e-enable Communications capacitor;Awesome;19598;52083
