id;name;specialization;opinion
1;Som Rustic Frozen Keyboard ROI;Benin;../fake-data/blob/hipster.txt
2;Tuna Response invoice;alarm Jamaica;../fake-data/blob/hipster.txt
3;system Gorgeous Rubber Pants;hack;../fake-data/blob/hipster.txt
4;leading-edge;Ergonomic Steel Gloves;../fake-data/blob/hipster.txt
5;Developer Shoes Music;Buckinghamshire Hollow Shoes;../fake-data/blob/hipster.txt
6;withdrawal Generic Frozen Tuna;Gorgeous Cotton Chair Personal Loan Account Borders;../fake-data/blob/hipster.txt
7;Norfolk Island Chilean Peso Unidades de fomento Checking Account;invoice Outdoors New York;../fake-data/blob/hipster.txt
8;multi-byte Jamaican Dollar North Carolina;Station;../fake-data/blob/hipster.txt
9;parsing Investment Account;Branding Dynamic black;../fake-data/blob/hipster.txt
10;yellow;Books Generic;../fake-data/blob/hipster.txt
